date,time,symbol,open,high,low,close,volume,oi
31/07/2025,14:41:14,NIFTY,24876.7,24876.7,24876.7,24876.7,75,6501675
31/07/2025,14:41:15,NIFTY,24874.6,24874.6,24874.6,24874.6,150,6501675
31/07/2025,14:41:17,NIFTY,24872.0,24872.0,24872.0,24872.0,1350,6501675
31/07/2025,14:41:18,NIFTY,24872.3,24872.3,24872.3,24872.3,225,6501675
31/07/2025,14:41:20,NIFTY,24870.1,24870.1,24870.1,24870.1,225,6501675
31/07/2025,14:41:22,NIFTY,24873.0,24873.0,24873.0,24873.0,450,6501675
31/07/2025,14:41:23,NIFTY,24870.0,24870.0,24870.0,24870.0,150,6501675
31/07/2025,14:41:25,NIFTY,24875.3,24875.3,24875.3,24875.3,525,6501675
31/07/2025,14:41:27,NIFTY,24874.4,24874.4,24874.4,24874.4,900,6501675
31/07/2025,14:41:28,NIFTY,24873.9,24873.9,24873.9,24873.9,600,6501675
31/07/2025,14:41:30,NIFTY,24866.6,24866.6,24866.6,24866.6,1125,6501675
31/07/2025,14:41:32,NIFTY,24870.4,24870.4,24870.4,24870.4,675,6501675
31/07/2025,14:41:35,NIFTY,24863.6,24863.6,24863.6,24863.6,225,6501675
31/07/2025,14:41:37,NIFTY,24867.4,24867.4,24867.4,24867.4,450,6501675
31/07/2025,14:41:38,NIFTY,24863.1,24863.1,24863.1,24863.1,75,6501675
31/07/2025,14:41:40,NIFTY,24863.0,24863.0,24863.0,24863.0,75,6501675
31/07/2025,14:41:42,NIFTY,24861.1,24861.1,24861.1,24861.1,75,6501675
31/07/2025,14:41:43,NIFTY,24866.2,24866.2,24866.2,24866.2,75,6501675
31/07/2025,14:41:45,NIFTY,24864.5,24864.5,24864.5,24864.5,150,6501675
31/07/2025,14:41:47,NIFTY,24856.0,24856.0,24856.0,24856.0,450,6501675
31/07/2025,14:41:48,NIFTY,24856.0,24856.0,24856.0,24856.0,75,6501675
31/07/2025,14:41:50,NIFTY,24856.0,24856.0,24856.0,24856.0,150,6501675
31/07/2025,14:41:53,NIFTY,24856.0,24856.0,24856.0,24856.0,300,6501675
31/07/2025,14:41:57,NIFTY,24856.0,24856.0,24856.0,24856.0,450,6501675
31/07/2025,14:42:02,NIFTY,24856.2,24856.2,24856.2,24856.2,75,6501675
31/07/2025,14:42:03,NIFTY,24860.5,24860.5,24860.5,24860.5,375,6501675
31/07/2025,14:42:05,NIFTY,24867.0,24867.0,24867.0,24867.0,600,6501675
31/07/2025,14:42:07,NIFTY,24861.2,24861.2,24861.2,24861.2,300,6501675
31/07/2025,14:42:08,NIFTY,24858.6,24858.6,24858.6,24858.6,150,6501675
31/07/2025,14:42:10,NIFTY,24865.0,24865.0,24865.0,24865.0,75,6501675
31/07/2025,14:42:13,NIFTY,24866.7,24866.7,24866.7,24866.7,75,6501675
31/07/2025,14:42:15,NIFTY,24865.8,24865.8,24865.8,24865.8,375,6501675
31/07/2025,14:42:17,NIFTY,24861.1,24861.1,24861.1,24861.1,150,6501675
31/07/2025,14:42:18,NIFTY,24867.0,24867.0,24867.0,24867.0,225,6501675
31/07/2025,14:42:22,NIFTY,24869.1,24869.1,24869.1,24869.1,75,6501675
31/07/2025,14:42:25,NIFTY,24863.4,24863.4,24863.4,24863.4,300,6501675
31/07/2025,14:42:27,NIFTY,24861.5,24861.5,24861.5,24861.5,150,6501675
31/07/2025,14:42:28,NIFTY,24862.0,24862.0,24862.0,24862.0,300,6501675
31/07/2025,14:42:32,NIFTY,24868.4,24868.4,24868.4,24868.4,225,6501675
31/07/2025,14:42:37,NIFTY,24869.4,24869.4,24869.4,24869.4,150,6501675
31/07/2025,14:42:40,NIFTY,24867.5,24867.5,24867.5,24867.5,600,6501675
31/07/2025,14:42:43,NIFTY,24868.5,24868.5,24868.5,24868.5,150,6501675
31/07/2025,14:42:45,NIFTY,24869.3,24869.3,24869.3,24869.3,450,6501675
31/07/2025,14:42:47,NIFTY,24865.0,24865.0,24865.0,24865.0,825,6501675
31/07/2025,14:42:48,NIFTY,24867.8,24867.8,24867.8,24867.8,300,6501675
31/07/2025,14:42:50,NIFTY,24861.6,24861.6,24861.6,24861.6,75,6501675
31/07/2025,14:42:52,NIFTY,24867.4,24867.4,24867.4,24867.4,150,6501675
31/07/2025,14:42:53,NIFTY,24862.2,24862.2,24862.2,24862.2,75,6501675
31/07/2025,14:42:55,NIFTY,24861.1,24861.1,24861.1,24861.1,600,6501675
31/07/2025,14:42:58,NIFTY,24865.0,24865.0,24865.0,24865.0,75,6501675
31/07/2025,14:43:02,NIFTY,24865.0,24865.0,24865.0,24865.0,225,6501675
31/07/2025,14:43:08,NIFTY,24867.2,24867.2,24867.2,24867.2,150,6501675
31/07/2025,14:43:17,NIFTY,24865.0,24865.0,24865.0,24865.0,825,6501675
31/07/2025,14:43:18,NIFTY,24865.0,24865.0,24865.0,24865.0,300,6501675
31/07/2025,14:43:27,NIFTY,24865.0,24865.0,24865.0,24865.0,600,6501675
31/07/2025,14:43:28,NIFTY,24864.0,24864.0,24864.0,24864.0,150,6499350
31/07/2025,14:43:30,NIFTY,24865.0,24865.0,24865.0,24865.0,75,6499350
31/07/2025,14:43:32,NIFTY,24867.2,24867.2,24867.2,24867.2,225,6499350
31/07/2025,14:43:33,NIFTY,24870.0,24870.0,24870.0,24870.0,450,6499350
31/07/2025,14:43:40,NIFTY,24870.0,24870.0,24870.0,24870.0,75,6499350
31/07/2025,14:43:42,NIFTY,24870.0,24870.0,24870.0,24870.0,375,6499350
31/07/2025,14:43:45,NIFTY,24870.0,24870.0,24870.0,24870.0,450,6499350
31/07/2025,14:43:52,NIFTY,24874.0,24874.0,24874.0,24874.0,2700,6499350
31/07/2025,14:43:55,NIFTY,24874.0,24874.0,24874.0,24874.0,975,6499350
31/07/2025,14:44:05,NIFTY,24873.0,24873.0,24873.0,24873.0,75,6499350
31/07/2025,14:44:07,NIFTY,24868.5,24868.5,24868.5,24868.5,300,6499350
31/07/2025,14:44:13,NIFTY,24873.3,24873.3,24873.3,24873.3,375,6499350
31/07/2025,14:44:17,NIFTY,24875.0,24875.0,24875.0,24875.0,825,6499350
31/07/2025,14:44:20,NIFTY,24875.0,24875.0,24875.0,24875.0,600,6499350
31/07/2025,14:44:23,NIFTY,24875.0,24875.0,24875.0,24875.0,75,6499350
31/07/2025,14:44:25,NIFTY,24883.6,24883.6,24883.6,24883.6,300,6499350
31/07/2025,14:44:27,NIFTY,24881.0,24881.0,24881.0,24881.0,75,6499350
31/07/2025,14:44:28,NIFTY,24877.5,24877.5,24877.5,24877.5,525,6499350
31/07/2025,14:44:33,NIFTY,24877.5,24877.5,24877.5,24877.5,375,6499350
31/07/2025,14:44:38,NIFTY,24879.4,24879.4,24879.4,24879.4,150,6499350
31/07/2025,14:44:40,NIFTY,24879.4,24879.4,24879.4,24879.4,75,6499350
31/07/2025,14:44:42,NIFTY,24881.0,24881.0,24881.0,24881.0,75,6499350
31/07/2025,14:44:45,NIFTY,24882.0,24882.0,24882.0,24882.0,75,6499350
31/07/2025,14:44:47,NIFTY,24882.0,24882.0,24882.0,24882.0,750,6499350
31/07/2025,14:44:52,NIFTY,24881.0,24881.0,24881.0,24881.0,150,6499350
31/07/2025,14:44:53,NIFTY,24881.0,24881.0,24881.0,24881.0,150,6499350
31/07/2025,14:44:55,NIFTY,24881.0,24881.0,24881.0,24881.0,75,6499350
31/07/2025,14:44:57,NIFTY,24874.5,24874.5,24874.5,24874.5,1050,6499350
31/07/2025,14:44:58,NIFTY,24881.0,24881.0,24881.0,24881.0,225,6499350
31/07/2025,14:45:02,NIFTY,24880.8,24880.8,24880.8,24880.8,825,6499350
31/07/2025,14:45:03,NIFTY,24875.6,24875.6,24875.6,24875.6,750,6499350
31/07/2025,14:45:07,NIFTY,24880.0,24880.0,24880.0,24880.0,75,6499350
31/07/2025,14:45:08,NIFTY,24875.0,24875.0,24875.0,24875.0,150,6499350
31/07/2025,14:45:14,NIFTY,24875.0,24875.0,24875.0,24875.0,1350,6499350
31/07/2025,14:45:15,NIFTY,24878.2,24878.2,24878.2,24878.2,150,6499350
31/07/2025,14:45:17,NIFTY,24875.3,24875.3,24875.3,24875.3,675,6499350
31/07/2025,14:45:19,NIFTY,24868.5,24868.5,24868.5,24868.5,525,6499350
31/07/2025,14:45:20,NIFTY,24868.5,24868.5,24868.5,24868.5,75,6499350
31/07/2025,14:45:32,NIFTY,24874.4,24874.4,24874.4,24874.4,75,6499350
31/07/2025,14:45:35,NIFTY,24870.9,24870.9,24870.9,24870.9,150,6499350
31/07/2025,14:45:39,NIFTY,24868.3,24868.3,24868.3,24868.3,1200,6499350
31/07/2025,14:45:42,NIFTY,24870.0,24870.0,24870.0,24870.0,75,6499350
31/07/2025,14:45:52,NIFTY,24865.6,24865.6,24865.6,24865.6,375,6499350
31/07/2025,14:45:59,NIFTY,24870.0,24870.0,24870.0,24870.0,75,6499350
31/07/2025,14:46:02,NIFTY,24865.7,24865.7,24865.7,24865.7,225,6499350
31/07/2025,14:46:04,NIFTY,24865.0,24865.0,24865.0,24865.0,150,6499350
31/07/2025,14:46:07,NIFTY,24862.6,24862.6,24862.6,24862.6,75,6499350
31/07/2025,14:46:10,NIFTY,24870.0,24870.0,24870.0,24870.0,75,6499350
31/07/2025,14:46:12,NIFTY,24863.8,24863.8,24863.8,24863.8,150,6499350
31/07/2025,14:46:22,NIFTY,24863.3,24863.3,24863.3,24863.3,150,6499350
31/07/2025,14:46:27,NIFTY,24863.0,24863.0,24863.0,24863.0,75,6499350
31/07/2025,14:46:32,NIFTY,24863.3,24863.3,24863.3,24863.3,75,6491400
31/07/2025,14:46:33,NIFTY,24860.1,24860.1,24860.1,24860.1,300,6491400
31/07/2025,14:46:35,NIFTY,24865.0,24865.0,24865.0,24865.0,75,6491400
31/07/2025,14:46:40,NIFTY,24860.0,24860.0,24860.0,24860.0,150,6491400
31/07/2025,14:46:43,NIFTY,24860.0,24860.0,24860.0,24860.0,75,6491400
31/07/2025,14:46:45,NIFTY,24863.2,24863.2,24863.2,24863.2,225,6491400
31/07/2025,14:46:47,NIFTY,24863.2,24863.2,24863.2,24863.2,75,6491400
31/07/2025,14:46:48,NIFTY,24863.2,24863.2,24863.2,24863.2,75,6491400
31/07/2025,14:46:50,NIFTY,24860.0,24860.0,24860.0,24860.0,525,6491400
31/07/2025,14:46:57,NIFTY,24858.7,24858.7,24858.7,24858.7,225,6491400
31/07/2025,14:47:05,NIFTY,24858.7,24858.7,24858.7,24858.7,75,6491400
31/07/2025,14:47:07,NIFTY,24857.5,24857.5,24857.5,24857.5,225,6491400
31/07/2025,14:47:08,NIFTY,24859.9,24859.9,24859.9,24859.9,525,6491400
31/07/2025,14:47:15,NIFTY,24859.0,24859.0,24859.0,24859.0,225,6491400
31/07/2025,14:47:19,NIFTY,24860.0,24860.0,24860.0,24860.0,525,6491400
31/07/2025,14:47:25,NIFTY,24854.7,24854.7,24854.7,24854.7,1125,6491400
31/07/2025,14:47:34,NIFTY,24858.4,24858.4,24858.4,24858.4,300,6491400
31/07/2025,14:47:35,NIFTY,24859.2,24859.2,24859.2,24859.2,75,6491400
31/07/2025,14:47:37,NIFTY,24858.9,24858.9,24858.9,24858.9,75,6491400
31/07/2025,14:47:45,NIFTY,24855.0,24855.0,24855.0,24855.0,375,6491400
31/07/2025,14:47:47,NIFTY,24855.8,24855.8,24855.8,24855.8,150,6491400
31/07/2025,14:47:52,NIFTY,24850.0,24850.0,24850.0,24850.0,1125,6491400
31/07/2025,14:47:54,NIFTY,24850.0,24850.0,24850.0,24850.0,300,6491400
31/07/2025,14:47:55,NIFTY,24850.0,24850.0,24850.0,24850.0,75,6491400
31/07/2025,14:47:59,NIFTY,24851.1,24851.1,24851.1,24851.1,75,6491400
31/07/2025,14:48:00,NIFTY,24850.0,24850.0,24850.0,24850.0,300,6491400
31/07/2025,14:48:04,NIFTY,24851.5,24851.5,24851.5,24851.5,150,6491400
31/07/2025,14:48:05,NIFTY,24851.5,24851.5,24851.5,24851.5,150,6491400
31/07/2025,14:48:07,NIFTY,24852.0,24852.0,24852.0,24852.0,150,6491400
31/07/2025,14:48:09,NIFTY,24852.4,24852.4,24852.4,24852.4,150,6491400
31/07/2025,14:48:10,NIFTY,24851.3,24851.3,24851.3,24851.3,75,6491400
31/07/2025,14:48:14,NIFTY,24852.9,24852.9,24852.9,24852.9,300,6491400
31/07/2025,14:48:15,NIFTY,24850.3,24850.3,24850.3,24850.3,225,6491400
31/07/2025,14:48:17,NIFTY,24849.6,24849.6,24849.6,24849.6,525,6491400
31/07/2025,14:48:19,NIFTY,24848.7,24848.7,24848.7,24848.7,675,6491400
31/07/2025,14:48:22,NIFTY,24850.0,24850.0,24850.0,24850.0,150,6491400
31/07/2025,14:48:32,NIFTY,24849.0,24849.0,24849.0,24849.0,150,6491400
31/07/2025,14:48:34,NIFTY,24849.2,24849.2,24849.2,24849.2,75,6491400
